Id,Nombre,Apellido,Precio,CodigoVuelo,TipoPasajero,EstadoVuelo
1,Lou,González,10000.000000,BA249Aterrizado,FirstClass,Aterrizado
2,Ulrike,Muñoz,25000.000000,IB080Aterrizado,FirstClass,Aterrizado
3,Brade,Rojas,20000.000000,MM098EnHorario,FirstClass,EnHorario
4,Kimbell,Díaz,50000.000000,BA249Aterrizado,FirstClass,Aterrizado
5,Sheelagh,Pérez,18000.000000,IB080Aterrizado,FirstClass,Aterrizado
6,Gayle,Soto,30000.000000,MM098EnHorario,FirstClass,EnHorario
7,Kimberlee,Contreras,33000.000000,BA249Aterrizado,FirstClass,Aterrizado
8,Henrieta,Silva,30000.000000,IB080Aterrizado,FirstClass,Aterrizado
9,Jeanine,Martínez,18000.000000,MM098EnHorario,FirstClass,EnHorario
10,Aggie,Sepúlveda,15000.000000,BA249Aterrizado,FirstClass,Aterrizado
11,Brandea,Morales,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
12,Cordelie,Rodríguez,50000.000000,IB080Aterrizado,FirstClass,Aterrizado
13,Shel,López,50000.000000,MM098EnHorario,FirstClass,EnHorario
14,Bronnie,Fuentes,20000.000000,MM098EnHorario,FirstClass,EnHorario
15,Megen,Hernández,10000.000000,BA249Aterrizado,FirstClass,Aterrizado
16,Iver,Torres,12000.000000,BA249Aterrizado,FirstClass,Aterrizado
17,Ernesta,Araya,37000.000000,BA249Aterrizado,FirstClass,Aterrizado
18,Cirillo,Flores,50000.000000,MM098EnHorario,FirstClass,EnHorario
19,Park,Espinoza,30000.000000,MM098EnHorario,FirstClass,EnHorario
20,Bellanca,Valenzuela,15000.000000,BA249Aterrizado,FirstClass,Aterrizado
21,Bobbye,Castillo,15000.000000,BA249Aterrizado,FirstClass,Aterrizado
22,Eugene,Tapia,50000.000000,BA249Aterrizado,FirstClass,Aterrizado
23,Johnny,Reyes,33000.000000,MM098EnHorario,FirstClass,EnHorario
24,Reagen,Gutiérrez,42000.000000,MM098EnHorario,FirstClass,EnHorario
25,Braden,Castro,25000.000000,MM098EnHorario,FirstClass,EnHorario
26,Karim,Pizarro,25000.000000,MM098EnHorario,FirstClass,EnHorario
27,Anthea,Álvarez,42000.000000,MM098EnHorario,FirstClass,EnHorario
28,Doro,Vásquez,33000.000000,IB080Aterrizado,FirstClass,Aterrizado
29,Gaye,Sánchez,37000.000000,IB080Aterrizado,FirstClass,Aterrizado
30,Toby,Fernández,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
31,Franny,Ramírez,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
32,Katey,Carrasco,42000.000000,MM098EnHorario,FirstClass,EnHorario
33,Earle,Gómez,10000.000000,BA249Aterrizado,FirstClass,Aterrizado
34,Redd,Cortés,42000.000000,BA249Aterrizado,FirstClass,Aterrizado
35,Jehanna,Herrera,50000.000000,BA249Aterrizado,FirstClass,Aterrizado
36,Cristie,Núñez,10000.000000,BA249Aterrizado,FirstClass,Aterrizado
37,Stefa,Jara,42000.000000,BA249Aterrizado,FirstClass,Aterrizado
38,Roda,Vergara,25000.000000,MM098EnHorario,FirstClass,EnHorario
39,Alfredo,Rivera,10000.000000,MM098EnHorario,FirstClass,EnHorario
40,Sydney,Figueroa,10000.000000,MM098EnHorario,FirstClass,EnHorario
41,Brnaba,Riquelme,30000.000000,MM098EnHorario,FirstClass,EnHorario
42,Ame,García,50000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
43,Bradney,Miranda,25000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
44,Margarete,Bravo,50000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
45,Nikoletta,Vera,50000.000000,MM098EnHorario,FirstClass,EnHorario
46,Lonnard,Molina,50000.000000,IB080Aterrizado,FirstClass,Aterrizado
47,Raine,Vega,30000.000000,IB080Aterrizado,FirstClass,Aterrizado
48,Noella,Campos,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
49,Dagmar,Sandoval,25000.000000,IB080Aterrizado,FirstClass,Aterrizado
50,Carroll,Orellana,42000.000000,IB080Aterrizado,FirstClass,Aterrizado
51,Marion,Cárdenas,50000.000000,IB080Aterrizado,FirstClass,Aterrizado
52,Carline,Olivares,12000.000000,IB080Aterrizado,FirstClass,Aterrizado
53,Hyacinthie,Alarcón,15000.000000,MM098EnHorario,FirstClass,EnHorario
54,Julina,Gallardo,33000.000000,MM098EnHorario,FirstClass,EnHorario
55,Corina,Ortiz,37000.000000,MM098EnHorario,FirstClass,EnHorario
56,Bernardine,Garrido,33000.000000,MM098EnHorario,FirstClass,EnHorario
57,Homer,Salazar,18000.000000,MM098EnHorario,FirstClass,EnHorario
58,Lianna,Guzmán,12000.000000,MM098EnHorario,FirstClass,EnHorario
59,Celene,Henríquez,50000.000000,MM098EnHorario,FirstClass,EnHorario
60,Kori,Saavedra,50000.000000,MM098EnHorario,FirstClass,EnHorario
61,Deeyn,Navarro,20000.000000,MM098EnHorario,FirstClass,EnHorario
62,Marysa,Aguilera,20000.000000,MM098EnHorario,FirstClass,EnHorario
63,Loy,Parra,15000.000000,MM098EnHorario,FirstClass,EnHorario
64,Gabbey,Romero,37000.000000,MM098EnHorario,FirstClass,EnHorario
65,Star,Aravena,33000.000000,MM098EnHorario,FirstClass,EnHorario
66,Dominica,Vargas,33000.000000,IB080Aterrizado,FirstClass,Aterrizado
